iteration	average_loss_in_train_data	prediction_accuracy_on_test_data	average_loss_in_test data
1	0.016591077520547358	0.7435897435897436	0.18551579694590056
2	0.016591300952777277	0.7435897435897436	0.18544111461094648
3	0.016590996994066444	0.7435897435897436	0.1853506145327711
4	0.01659080323858063	0.7435897435897436	0.18526045105331393
5	0.016590946064800702	0.7435897435897436	0.18517519816987388
6	0.016590972900590722	0.7435897435897436	0.18510231788114348
7	0.0165911079449977	0.7435897435897436	0.18502236102674488
8	0.01659085572942997	0.7435897435897436	0.18494660080261688
9	0.01659078199507788	0.7435897435897436	0.18486257838884562
10	0.01659081112457366	0.7435897435897436	0.18478946700207746
11	0.016590743649994216	0.7435897435897436	0.18471153407994403
12	0.016590779200201175	0.7435897435897436	0.18462665962235972
13	0.016590834463779944	0.7435897435897436	0.18454735599179753
14	0.01659086547178531	0.7435897435897436	0.18447500996365657
15	0.01659062982064334	0.7435897435897436	0.18439830587277437
16	0.01659036134875007	0.7435897435897436	0.18431627341766232
17	0.016590637500627337	0.7435897435897436	0.18423602846684872
18	0.01659067694451479	0.7435897435897436	0.1841511888754862
19	0.016590714055065535	0.7435897435897436	0.1840723016465804
20	0.016590674284609058	0.7435897435897436	0.1839999793982969
